iterations,time taken (in s)
529,0.249500709
871,0.319319375
3279,0.675987875
3909,0.744480542
1780,0.555327125
2492,0.436101167
320,0.287963833
1757,0.485852
3323,0.702375625
2856,0.72719775
1978,0.473990083
2252,0.492686625
2523,0.527408125
949,0.324426
3729,0.742455584
1883,0.457317709
312,0.240245792
1001,0.555898125
1716,0.508314583
2632,0.526148666
676,0.28666725
1078,0.350557667
3052,0.722267166
2822,0.69806875
2197,0.526923958
3509,0.742835625
1748,0.452394292
2964,0.665258084
793,0.283715708
658,0.282036709
3998,0.64363775
787,0.295796209
2487,0.488080958
3366,0.833509417
1857,0.436975708
2342,0.524882042
922,0.354577708
3502,0.657112917
985,0.335442375
2299,0.47735125
2189,0.5005585
3063,0.717797042
2099,0.510467708
1709,0.519599292
3473,0.830691083
1649,0.432752792
922,0.32606325
1363,0.432383125
3747,0.75591375
1707,0.475360583
1330,0.382588084
2124,0.482225084
305,0.217947792
1736,0.43616775
3973,0.73568875
2854,0.69671925
75,0.235214084
702,0.374202875
886,0.351183167
151,0.246853916
2087,0.488043
3633,0.730970958
2147,0.494535958
8148,1.272569375
7437,1.2303230410000001
4016,0.71218
2903,0.681162666
3235,0.64938675
4165,0.712535541
8026,1.15681025
2461,0.426015375
3670,0.709089459
7264,1.269899458
6438,1.168116833
2265,0.504575875
2058,0.439222042
6016,1.167120416
9595,1.220636333
3100,0.730481667
5989,1.1537353750000001
3732,0.726284584
7493,1.172138833
7700,1.162361209
3018,0.692760583
3035,0.682874333
5191,0.763676083
3922,0.644377208
4238,0.815172916
2604,0.454896708
6296,1.488243291
8361,1.258508208
2288,0.50959775
3861,0.829493584
3363,0.667725292
3027,0.956855083
9168,1.3994575
6669,1.148490708
5596,1.1604755
8790,1.403834458
6466,1.281436792
4711,0.726954875
9879,1.29759725
4980,1.024822292
1578,0.453164458
6970,1.420371583
7185,1.175344958
1752,0.438496583
3828,0.725719792
8897,1.29579525
7239,1.26918375
9290,1.5218536249999999
6988,1.240459292
4363,0.693453958
6996,1.213142333
3390,0.736742
1372,0.475496041
7980,1.308795417
8011,1.121088375
8075,1.242764708
6101,1.308593458
8653,1.276954209
5522,1.194088416
804,0.365547875
1325,0.33551075
3706,0.662051959
5086,0.79109575
9590,1.339567542
2007,0.480476584
5296,0.741479625
4863,0.705376541
8523,1.252296709
7597,1.170778916
1238,0.342825
6355,1.195091708
469,0.2321205
6852,1.221704458
4368,0.794150667
2879,0.680098375
4827,0.7361485
3521,0.842301042
6543,1.145246709
8362,1.25545925
2279,0.446812292
7327,1.181488917
9886,1.259054916
2473,0.53259825
2771,0.734566
6437,1.168417292
5198,0.75126275
9622,1.266862291
8073,1.134508125
7080,1.239782
2459,0.543084208
7395,1.121474458
1196,0.322204625
8109,1.178903083
7550,1.211320083
2750,0.697306583
9389,1.296951333
8400,1.239476417
3713,0.728704833
9683,1.215832542
1536,0.464531708
9240,1.274117958
3334,0.688479667
6744,1.1902175
3828,0.656610042
4049,0.694475208
8911,1.31868725
4441,0.728051084
5050,0.761467625
7356,1.214863041
3668,0.675356292
8926,1.280455375
2862,0.767586292
3466,0.687968625
8749,1.305987542
2637,0.490551916
8457,1.300855125
6616,1.163753333
5032,0.743996083
3722,0.696937209
7155,1.149692542
3747,0.749350583
7570,1.174365625
2747,0.690695458
7529,1.2035297919999999
4181,0.693532458
2251,0.409151542
5007,0.715389
8548,1.323161208
5635,1.157586833
2957,0.711009541
9877,1.274383292
4499,0.739234084
2004,0.418504916
7373,1.222679208
4972,0.693262167
766,0.312126
9981,1.286467166
7890,1.162679709
1355,0.346891541
6401,1.190123125
1508,0.453868208
2076,0.482753625
854,0.41756925
4017,0.706006875
5113,0.751172667
7117,1.15367425
4078,0.664969708
481,0.235571167
4479,0.659212292
841,0.290823334
9408,1.258836416
6652,1.162596833
8897,1.236885667
2426,0.48481425
1338,0.30951775
7449,1.139180833
8389,1.27793525
2601,0.490987958
1429,0.469637584
8637,1.205005292
9555,1.2521938750000001
3764,0.694350084
2611,0.510165459
9734,1.325218292
1370,0.45122675
2160,0.470693584
9777,1.273790833
5795,1.192997042
8619,1.203802958
9941,1.261775458
5750,1.146654917
3301,0.694832375
305,0.258569
6187,1.18312175
6563,1.184809084
5500,1.174199334
6459,1.153758
5998,1.1476015
2034,0.445436875
6810,1.163456291
1831,0.468101708
9057,1.188615917
3504,0.644283042
8371,1.205147875
3679,0.657739959
8367,1.237577
6028,1.158505458
3723,0.748256166
5217,0.705548375
388,0.302609584
766,0.331253458
7669,1.130195375
2717,0.487229833
6072,1.208335875
7259,1.181716
8242,1.2382943339999999
2926,0.714055958
8498,1.279080584
2389,0.515568167
607,0.282674584
1822,0.492686167
5409,0.683750542
5574,1.184867792
1665,0.464663167
8709,1.201663084
8745,1.259741916
87,0.231681375
6083,1.226767333
9571,1.3442925
6903,1.145840583
6226,1.2148215
4941,0.743581417
2052,0.438664583
8702,1.3071877920000001
7253,1.213234041
9542,1.220790334
9437,1.252200208
3480,0.707922167
4262,0.700666459
7740,1.206888667
1888,0.431335
5227,0.679884875
96,0.191584125
6659,1.167851667
3301,0.63659225
4501,0.690140333
7872,1.12628075
8371,1.195519334
9060,1.22922825
8048,1.183528334
8229,1.2182520000000001
9910,1.203868625
7765,1.185147083
6038,1.174884167
9629,1.254381334
968,0.282167166
1410,0.530863917
7140,1.167677083
9644,1.229906417
7822,1.168564083
9801,1.286912833
6727,1.10447075
8542,1.311417458
5722,1.210455834
2037,0.425206042
2315,0.436704208
6468,1.149126791
7290,1.201111417
718,0.374330916
158,0.165097917
4591,0.7497205
5977,1.1845355419999999
8375,1.294935292
1501,0.459301209
6256,1.189798291
9865,1.232428291
1949,0.454091083
8726,1.259702375
2326,0.464635083
9587,1.191683625
5611,1.118800459
5023,0.746402459
1243,0.344628708
5562,1.143589958
8194,1.203424125
2378,0.488096666
3746,0.687918458
1548,0.410498125
2077,0.472998375
8290,1.273972666
1849,0.4213975
7025,1.195075583
2402,0.771456292
6319,1.311109
1675,0.498269
6473,1.576084875
6407,1.229076917
9514,1.310239167
9564,1.341380292
4277,0.778167708
36551,4.316430333
23856,4.077865083
19349,2.311643875
11313,2.139170708
8505,1.241564375
27923,4.070754708
10621,1.302077417
33860,4.387564458
19564,2.245927166
10041,1.274350792
29717,4.6386333749999995
7195,1.2280048749999999
3436,0.716684666
8908,1.424462916
5448,0.779645292
