iterations,time taken (in s)
796,0.288346708
1514,0.416646417
628,0.250598542
759,0.289735875
1572,0.840871625
1704,0.499609625
1388,0.629239042
614,0.727619458
696,0.539573375
3,0.495695125
520,0.662302458
1858,1.179883666
1781,1.387481625
964,1.343314
987,0.290458375
1745,0.512999875
1029,0.352427
549,0.293200166
1578,0.677927208
948,0.317639458
1888,0.476202375
1737,0.465115
1024,0.297006792
10,0.151414375
460,0.235971542
1788,0.396402375
967,0.279497083
887,0.314693583
519,0.292933625
645,0.2529265
392,0.260205417
753,0.69861925
1311,0.308576958
458,0.270380625
1530,0.463654417
861,0.341223375
266,0.184188208
1968,0.418914083
3,0.186846208
953,0.300069417
1289,0.276584167
1950,0.396673667
1344,0.329614833
13,0.120821042
1332,0.30120225
1653,0.367513083
1933,0.403138084
1617,0.441108084
519,0.228942084
247,0.2871555
55,0.228486833
1910,0.477725042
1230,0.319679166
352,0.414757417
352,0.220773708
3626,0.672066291
1745,0.385187792
78,0.224068375
2590,0.459401959
2878,0.706170541
747,0.426390375
1938,0.567341958
2718,0.5164535
848,0.281255375
3762,0.667264
1698,0.380801375
1186,0.334425791
1509,0.398378541
2381,0.4378635
2719,0.430620791
2911,0.726516167
2925,1.119013875
250,0.20841225
2189,0.472946875
3445,0.749603584
947,0.257067375
1070,0.273343584
2402,0.641178458
3148,0.832816583
384,0.234980375
1508,0.366290958
3886,0.71187525
1148,0.33701675
1185,0.294050916
2877,0.628338125
2172,0.432388292
3471,0.656209708
3972,0.721594542
3210,0.710528375
636,0.26629925
2149,0.432222875
471,0.202093875
933,0.314420958
2102,0.524423
1113,0.342158792
2150,0.492560542
363,0.265786666
221,0.25329575
1091,0.302801333
3782,0.64875275
1267,0.344624834
2077,0.430798833
956,0.37882675
1674,0.363393292
1893,0.486096834
2763,0.61085925
1882,0.371607542
3773,0.658671292
2303,0.420556833
2653,0.421758375
3553,0.670229291
872,0.332097959
1671,0.398948792
3292,0.780900667
2296,0.440494667
963,0.297862917
1315,0.312263125
1868,0.588877791
3141,0.633203292
1436,0.449909167
2324,0.548325333
9129,1.199614166
2187,0.443232584
1150,0.28579775
4543,0.73007925
6508,1.15017
2744,0.649896583
9713,1.2511711669999999
9726,1.184120792
7629,1.244399083
7331,1.130547792
7563,1.193509416
6356,1.1580205829999999
2613,0.448416791
4617,0.701352791
2600,0.439523917
3794,0.663936083
5520,1.137427666
9578,1.147816875
6759,1.1359447089999999
7754,1.3964072920000001
1572,0.378821166
5317,0.766118625
9028,1.25437225
2834,0.672067334
4459,0.7672795
6942,1.39814525
7331,1.11373575
5781,1.0746955
6882,1.080225333
5544,1.122266875
3124,0.688701667
5655,1.137766916
4192,0.764407042
522,0.219224708
3468,0.65627875
3917,0.644646458
1496,0.45557675
628,0.239308708
2926,0.62710125
5961,1.188158667
7715,1.1665126670000001
8955,1.217379125
7980,1.160823917
1969,0.502656291
9575,1.286015583
7305,1.147107541
1564,0.439418334
2334,0.437166667
3032,0.589713417
8637,1.642537584
6202,1.160215584
7374,1.138774625
9463,1.233034333
5256,0.703094833
7003,1.099901625
7322,1.3844305829999999
4758,0.698357208
6281,1.150868333
7250,1.233077959
2808,1.083689875
227,0.188462833
7610,1.145586666
1394,0.414319833
942,0.287130792
9913,1.226504083
628,0.261082292
9141,1.18430675
4703,0.740610792
9103,1.225222542
2875,0.647391375
1175,0.360405042
9374,1.161679334
2545,0.485542042
4369,0.704679834
8969,1.229128083
7810,1.111757042
2685,0.468471584
25,0.245515834
4258,0.715102041
1350,0.264148125
3808,0.868884375
6852,1.080653167
7458,1.122258834
682,0.275896834
2564,0.505446959
6931,1.189861458
1774,0.413088542
1697,0.429858625
9719,1.230442667
9761,1.16059675
2661,0.425809541
484,0.223125458
7818,1.141669792
2731,0.6419105
9066,1.20881475
5351,0.677028083
2915,0.638341583
7945,1.094196458
3875,0.656064792
3353,0.748593875
2117,0.467913542
9184,1.255495334
6777,1.117454125
7124,1.1264045
4927,0.752290708
712,0.401382375
8253,1.139881416
599,0.265225583
5995,1.182071042
7731,1.1487365
37,0.15474225
5611,1.06629175
2634,0.399824417
6173,1.101797875
4773,0.7479345
6519,1.176396708
9543,1.267625125
5676,1.1673115410000001
8611,1.195154917
1441,0.421708458
9374,1.176655459
6140,1.12234325
5419,0.73638225
4991,0.711041542
2234,0.504512792
3924,0.655638333
3564,0.66406325
147,0.210453125
8853,1.204513459
5625,1.09987075
1508,0.428682084
6978,1.168666292
624,0.227327125
3338,0.823346875
5143,0.727764917
6659,1.118932625
5756,1.073568583
7897,1.134477583
7322,1.146999791
1834,0.442989333
2796,0.627137959
6641,1.121958333
2341,0.419859042
6752,1.060451834
9072,1.265958667
2900,0.653133875
160,0.298178209
9313,1.1983968329999999
4237,0.773505959
7114,1.155402542
2651,0.44935375
6093,1.147254959
3163,0.613871583
105,0.207850375
962,0.313478167
3736,0.625940209
4992,0.696637125
3692,0.671260709
8315,1.150117542
2950,0.672675334
6776,1.061860792
5136,0.716361708
9909,1.156243875
8647,1.240047084
9524,1.19574775
5313,0.693023625
9267,1.201732209
1946,0.420720083
544,0.282335916
3889,0.666882625
4573,0.672912833
9852,1.200132083
7276,1.125977958
4396,0.687222208
2975,0.608333208
7164,1.072237958
6381,1.160739666
8784,1.269630708
3888,0.717492291
6790,1.131813792
1563,0.366365083
3735,0.675884
8906,1.170390125
9462,1.1791108750000001
6655,1.051613042
4034,0.633406583
5084,0.678321125
569,0.23759675
3939,0.627704833
5007,0.717085042
3745,0.692272333
7523,1.060019875
9301,1.223101084
1787,0.515640459
2424,0.505578709
4048,0.631277959
3555,0.665219291
8487,1.202032541
9708,1.162108958
8754,1.2004209160000001
2158,0.40208375
2646,0.410606584
1224,0.290325542
9911,1.204641791
2312,0.406927958
8113,1.126722542
2605,0.482877666
5986,1.130628125
9690,1.23950175
2772,0.606144666
5756,1.027834958
1414,0.393114458
2323,0.389622125
7305,1.1191583330000001
9212,1.157861584
8453,1.206683666
8889,1.2243515
4818,0.711697375
4639,0.716776792
5536,1.101938959
6450,1.092080584
8510,1.178371833
5104,0.723546834
3971,0.657375
6474,1.138229042
7168,1.088898666
9005,1.200866
8115,1.111111583
8416,1.166485167
9357,1.202230041
3733,0.653108041
4404,0.711114583
8366,1.219524875
4232,0.691129458
690,0.316233792
5814,1.08097425
3293,0.675779208
316,0.216243166
6738,1.101894125
6910,1.10259
2420,0.451902875
7293,1.207520083
6524,1.072558792
5753,1.09841925
2190,0.41964625
7242,1.108591417
7328,1.142080917
2286,0.41555225
8516,1.214935584
5954,1.070748583
9111,1.127557834
7276,1.120891958
3784,0.641301667
3417,0.6885035
3528,0.654515459
35,0.196818292
7691,1.116594292
5329,0.691775375
7646,1.06507925
9804,1.191279459
4533,0.717091833
6206,1.079074833
8126,1.094480875
3230,0.717397
5188,0.730023625
3846,0.643777666
792,0.343555416
6797,1.093513958
5936,1.15577275
5888,1.144363083
7020,1.090072125
2188,0.419908541
4624,0.651324709
3382,0.67974725
993,0.254727916
4468,0.750921333
4186,0.720645542
4253,0.677063542
8165,1.120111
5236,0.678290709
2095,0.467483542
4743,0.733462167
5220,0.730074667
7493,1.143399875
2243,0.45910775
3224,0.635528083
4252,0.753074208
6982,1.11157925
7980,1.151949333
8876,1.170512625
8012,1.152653666
1416,0.398741167
3835,0.637920583
4901,0.71417075
6493,1.137847667
6070,1.108032917
1039,0.332141
7739,1.088428666
9957,1.212541
7056,1.117873875
6725,1.157154417
95,0.190969541
7212,1.144020125
27551,4.017230292
2566,0.438824709
32315,3.986498458
20842,2.322291958
2272,0.449348708
2416,0.474350417
1169,0.343789292
2172,0.479350083
13266,2.114037375
37761,4.407121375
20914,2.439794
37423,4.373911708
13563,2.139445875
37472,4.370537958
36332,4.293288541
37092,4.394729
36553,4.40737575
36176,4.811712708
16961,2.301275625
29776,3.945134833
37276,4.259946708
676,0.258973208
16154,2.095653542
5720,1.12566625
20853,2.269622041
38012,4.370049833
36774,4.370143958
31360,3.965581458
39101,4.300265875
16491,2.228341917
2604,0.38642675
34346,4.349473542
38557,4.259734167
9717,1.22420975
29417,4.03995875
19593,2.291172834
14737,2.080349917
34600,4.309291625
37886,4.337805792
11540,2.063561417
24871,3.922201125
28014,3.99012475
4087,0.695345167
18694,2.244466166
17275,2.243714417
16966,2.2434445
31176,3.93411475
14430,2.07412775
25265,3.897776625
29474,3.995311833
4957,0.672946792
11850,2.064336459
2009,0.380536292
13006,2.20078675
24314,3.954601667
1963,0.401505667
22193,3.965063625
10922,2.041811833
20534,2.276351917
9426,1.1871065
3610,0.67365925
25138,3.9270005
13258,2.050126875
1819,0.393957333
31167,3.934206167
18879,2.229019
11051,2.013528417
15072,2.113605458
30762,4.141848042
22796,4.004123708
36037,4.385126833
544,0.272165959
30996,4.057946166
31550,3.982770834
35582,4.253251875
14714,2.11655525
18264,2.18497575
2772,0.641900959
37708,4.2308485000000005
6332,1.144565667
15694,2.054652625
31920,4.013073625
33913,4.309407125
22253,3.936636083
14893,2.087847959
13383,2.066916292
34515,4.284048042
479,0.243581666
14715,2.087976416
6252,1.100941042
4050,0.693732584
18280,2.302383208
23612,3.891533042
4041,0.59182425
8246,1.227025583
31064,3.926905333
22971,3.962683
